//<Version>ODV Spreadsheet V4.0</Version>
//<Creator>Simona@SIMONA-TOSH</Creator>
//<CreateTime>2014-05-29T01:20:43</CreateTime>
//<Software>Ocean Data View 4.5.3</Software>
//<Source>C:/MEDATLAS_LIGURE/Maps/DYOMEI1981.odv</Source>
//<SourceLastModified>2014-04-17T15:47:37</SourceLastModified>
//<DataField>GeneralField</DataField>
//<DataType>GeneralType</DataType>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	PRES [DECIBAR=10000 PASCALS]	TEMP [CELSIUS DEGREE]	PSAL [P.S.U.]
							1150.0000	12.9720	38.4710
							1160.0000	12.9700	38.4700
							1170.0000	12.9710	38.4700
							1180.0000	12.9720	38.4690
							1190.0000	12.9700	38.4690
DYOME I	01030	C	1981-07-11	8.30000	43.26700	0	0.0000	21.1870	38.5700
							10.0000	19.8810	38.4950
							20.0000	16.9310	38.4090
							30.0000	14.4120	38.3950
							40.0000	13.6170	38.3820
							50.0000	13.2450	38.3890
							60.0000	13.0800	38.3930
							70.0000	13.1600	38.4550
							80.0000	13.1460	38.4670
							90.0000	13.1440	38.4790
							100.0000	13.1330	38.4840
							110.0000	13.1770	38.5070
							120.0000	13.1780	38.5100
							130.0000	13.1550	38.5080
							140.0000	13.1570	38.5130
							150.0000	13.1370	38.5110
							160.0000	13.1330	38.5130
							170.0000	13.1290	38.5140
							180.0000	13.1350	38.5190
							190.0000	13.1380	38.5210
							200.0000	13.1290	38.5200
							210.0000	13.1200	38.5190
							220.0000	13.1220	38.5210
							230.0000	13.1160	38.5190
							240.0000	13.1080	38.5180
							250.0000	13.0940	38.5140
							260.0000	13.0750	38.5100
							270.0000	13.0590	38.5050
							280.0000	13.0450	38.5020
							290.0000	13.0330	38.4990
							300.0000	13.0240	38.4990
							310.0000	13.0330	38.5010
							320.0000	13.0110	38.4950
							330.0000	13.0050	38.4930
							340.0000	12.9940	38.4900
							350.0000	12.9900	38.4890
							360.0000	12.9830	38.4890
							370.0000	12.9780	38.4870
							380.0000	12.9750	38.4860
							390.0000	12.9740	38.4860
							400.0000	12.9720	38.4850
							410.0000	12.9710	38.4850
							420.0000	12.9690	38.4840
							430.0000	12.9620	38.4820
							440.0000	12.9600	38.4820
							450.0000	12.9570	38.4800
							460.0000	12.9540	38.4800
							470.0000	12.9530	38.4790
							480.0000	12.9500	38.4790
							490.0000	12.9430	38.4760
							500.0000	12.9360	38.4740
							510.0000	12.9320	38.4720
							520.0000	12.9280	38.4730
							530.0000	12.9270	38.4720
							540.0000	12.9230	38.4710
							550.0000	12.9220	38.4710
							560.0000	12.9200	38.4700
							570.0000	12.9190	38.4690
							580.0000	12.9210	38.4690
							590.0000	12.9180	38.4690
							600.0000	12.9160	38.4670
							610.0000	12.9140	38.4660
							620.0000	12.9130	38.4660
							630.0000	12.9140	38.4660
							640.0000	12.9180	38.4680
							650.0000	12.9170	38.4670
							660.0000	12.9100	38.4660
							670.0000	12.9190	38.4680
							680.0000	12.9240	38.4690
							690.0000	12.9210	38.4680
							700.0000	12.9230	38.4690
							710.0000	12.9210	38.4680
							720.0000	12.9240	38.4690
							730.0000	12.9270	38.4690
							740.0000	12.9290	38.4690
							750.0000	12.9330	38.4700
							760.0000	12.9390	38.4730
							770.0000	12.9430	38.4730
							780.0000	12.9490	38.4750
							790.0000	12.9520	38.4760
							800.0000	12.9550	38.4760
							810.0000	12.9560	38.4760
							820.0000	12.9560	38.4750
							830.0000	12.9570	38.4750
							840.0000	12.9590	38.4770
							850.0000	12.9600	38.4770
							860.0000	12.9620	38.4770
							870.0000	12.9650	38.4770
							880.0000	12.9660	38.4770
							890.0000	12.9680	38.4780
							900.0000	12.9660	38.4760
							910.0000	12.9640	38.4760
							920.0000	12.9650	38.4760
							930.0000	12.9670	38.4760
							940.0000	12.9700	38.4760
							950.0000	12.9780	38.4790
							960.0000	12.9800	38.4790
							970.0000	12.9810	38.4790
							980.0000	12.9790	38.4790
							990.0000	12.9810	38.4780
							1000.0000	12.9820	38.4780
							1010.0000	12.9840	38.4790
							1020.0000	12.9830	38.4790
							1030.0000	12.9830	38.4780
							1040.0000	12.9840	38.4790
							1050.0000	12.9860	38.4770
							1060.0000	12.9840	38.4770
							1070.0000	12.9850	38.4780
							1080.0000	12.9830	38.4760
							1090.0000	12.9840	38.4750
							1100.0000	12.9870	38.4770
							1110.0000	12.9900	38.4780
							1120.0000	12.9940	38.4800
							1130.0000	12.9990	38.4800
							1140.0000	13.0000	38.4800
							1150.0000	12.9970	38.4780
							1160.0000	12.9960	38.4770
							1170.0000	12.9960	38.4780
DYOME I	01040	C	1981-07-11	8.47500	43.39200	0	0.0000	21.5000	38.5140
							10.0000	19.9800	38.4030
							20.0000	16.5590	38.2460
							30.0000	14.1660	38.2580
							40.0000	13.5430	38.2900
							50.0000	13.1950	38.3090
							60.0000	13.0620	38.3500
							70.0000	13.0560	38.3780
							80.0000	13.0500	38.4030
							90.0000	13.1120	38.4450
							100.0000	13.1600	38.4760
							110.0000	13.1400	38.4810
							120.0000	13.1230	38.4880
							130.0000	13.1500	38.5000
							140.0000	13.1120	38.4960
							150.0000	13.1170	38.4980
							160.0000	13.1280	38.5050
							170.0000	13.1220	38.5060
							180.0000	13.1100	38.5050
							190.0000	13.1000	38.5050
							200.0000	13.0940	38.5040
							210.0000	13.0870	38.5030
							220.0000	13.0690	38.5000
							230.0000	13.0690	38.5030
							240.0000	13.0720	38.5020
							250.0000	13.0550	38.4980
							260.0000	13.0170	38.4900
							270.0000	13.0140	38.4890
							280.0000	13.0120	38.4890
							290.0000	13.0130	38.4910
							300.0000	13.0080	38.4900
							310.0000	13.0040	38.4910
							320.0000	13.0030	38.4890
							330.0000	12.9930	38.4880
							340.0000	12.9910	38.4870
							350.0000	12.9860	38.4860
							360.0000	12.9800	38.4850
							370.0000	12.9750	38.4860
							380.0000	12.9860	38.4900
							390.0000	13.0030	38.4940
							400.0000	13.0030	38.4940
							410.0000	12.9970	38.4930
							420.0000	13.0000	38.4950
							430.0000	12.9970	38.4930
							440.0000	12.9840	38.4880
							450.0000	12.9710	38.4850
							460.0000	12.9700	38.4860
							470.0000	12.9680	38.4840
							480.0000	12.9630	38.4840
							490.0000	12.9610	38.4820
							500.0000	12.9540	38.4800
							510.0000	12.9470	38.4800
							520.0000	12.9490	38.4790
							530.0000	12.9470	38.4790
							540.0000	12.9440	38.4770
							550.0000	12.9430	38.4760
							560.0000	12.9430	38.4770
							570.0000	12.9400	38.4750
							580.0000	12.9360	38.4760
							590.0000	12.9390	38.4760
							600.0000	12.9400	38.4770
							610.0000	12.9410	38.4750
							620.0000	12.9360	38.4750
							630.0000	12.9380	38.4750
							640.0000	12.9330	38.4730
							650.0000	12.9330	38.4740
							660.0000	12.9340	38.4740
							670.0000	12.9390	38.4740
							680.0000	12.9400	38.4740
							690.0000	12.9390	38.4750
							700.0000	12.9400	38.4740
							710.0000	12.9410	38.4760
							720.0000	12.9460	38.4760
							730.0000	12.9480	38.4760
							740.0000	12.9480	38.4760
							750.0000	12.9480	38.4770
							760.0000	12.9530	38.4770
							770.0000	12.9510	38.4760
							780.0000	12.9520	38.4770
							790.0000	12.9560	38.4770
							800.0000	12.9590	38.4770
							810.0000	12.9620	38.4790
							820.0000	12.9670	38.4800
							830.0000	12.9670	38.4800
							840.0000	12.9710	38.4810
							850.0000	12.9720	38.4810
							860.0000	12.9730	38.4800
							870.0000	12.9750	38.4800
							880.0000	12.9770	38.4800
							890.0000	12.9780	38.4810
							900.0000	12.9790	38.4810
							910.0000	12.9800	38.4810
							920.0000	12.9790	38.4800
							930.0000	12.9690	38.4760
							940.0000	12.9620	38.4750
							950.0000	12.9660	38.4760
							960.0000	12.9710	38.4750
							970.0000	12.9720	38.4760
							980.0000	12.9700	38.4750
							990.0000	12.9730	38.4760
							1000.0000	12.9870	38.4810
							1010.0000	12.9880	38.4810
							1020.0000	12.9870	38.4790
							1030.0000	12.9880	38.4800
							1040.0000	12.9920	38.4810
							1050.0000	12.9940	38.4800
							1060.0000	12.9940	38.4800
							1070.0000	12.9940	38.4800
							1080.0000	12.9950	38.4800
							1090.0000	12.9990	38.4800
							1100.0000	12.9930	38.4780
							1110.0000	12.9930	38.4780
							1120.0000	12.9940	38.4790
							1130.0000	12.9960	38.4790
							1140.0000	12.9980	38.4790
							1150.0000	13.0020	38.4800
							1160.0000	13.0040	38.4800
							1170.0000	13.0080	38.4810
							1180.0000	13.0120	38.4810
							1190.0000	13.0110	38.4810
							1200.0000	13.0100	38.4820
DYOME I	01050	C	1981-07-11	8.63300	43.50800	0	0.0000	21.5690	38.5060
							10.0000	20.8590	38.4160
							20.0000	16.6470	38.2790
							30.0000	14.8150	38.3500
							40.0000	13.8950	38.4160
							50.0000	13.5690	38.4600
							60.0000	13.3050	38.4810
							70.0000	13.2070	38.4860
							80.0000	13.1250	38.4850
							90.0000	13.1160	38.4890
							100.0000	13.0870	38.4920
							110.0000	13.0920	38.4970
							120.0000	13.0810	38.4960
							130.0000	13.0780	38.5000
							140.0000	13.0600	38.4980
							150.0000	13.0330	38.4930
							160.0000	13.0210	38.4910
							170.0000	13.0110	38.4900
							180.0000	13.0030	38.4890
							190.0000	12.9960	38.4880
							200.0000	12.9860	38.4850
							210.0000	12.9990	38.4900
							220.0000	12.9910	38.4870
							230.0000	12.9920	38.4900
							240.0000	13.0000	38.4930
							250.0000	12.9940	38.4910
							260.0000	12.9930	38.4910
							270.0000	12.9930	38.4910
							280.0000	12.9810	38.4880
							290.0000	12.9750	38.4850
							300.0000	12.9650	38.4820
							310.0000	12.9470	38.4780
							320.0000	12.9450	38.4780
							330.0000	12.9400	38.4760
							340.0000	12.9330	38.4730
							350.0000	12.9260	38.4720
							360.0000	12.9200	38.4700
							370.0000	12.9170	38.4690
							380.0000	12.9140	38.4700
							390.0000	12.9110	38.4680
							400.0000	12.9090	38.4670
							410.0000	12.9110	38.4680
							420.0000	12.9170	38.4700
							430.0000	12.9140	38.4680
							440.0000	12.9070	38.4660
							450.0000	12.9060	38.4650
							460.0000	12.9050	38.4660
							470.0000	12.9060	38.4650
							480.0000	12.9040	38.4650
							490.0000	12.9070	38.4660
							500.0000	12.9110	38.4660
							510.0000	12.9110	38.4660
							520.0000	12.9110	38.4660
							530.0000	12.9110	38.4660
							540.0000	12.9120	38.4660
							550.0000	12.9140	38.4660
							560.0000	12.9120	38.4640
							570.0000	12.9100	38.4640
							580.0000	12.9080	38.4640
							590.0000	12.9080	38.4650
							600.0000	12.9170	38.4670
							610.0000	12.9220	38.4670
							620.0000	12.9230	38.4670
							630.0000	12.9280	38.4690
							640.0000	12.9330	38.4710
							650.0000	12.9380	38.4710
							660.0000	12.9390	38.4710
							670.0000	12.9410	38.4730
							680.0000	12.9460	38.4730
							690.0000	12.9510	38.4740
							700.0000	12.9540	38.4740
							710.0000	12.9580	38.4770
							720.0000	12.9630	38.4770
							730.0000	12.9650	38.4780
							740.0000	12.9660	38.4780
							750.0000	12.9670	38.4780
							760.0000	12.9690	38.4780
							770.0000	12.9720	38.4790
							780.0000	12.9720	38.4780
							790.0000	12.9730	38.4790
							800.0000	12.9760	38.4790
							810.0000	12.9800	38.4790
							820.0000	12.9780	38.4790
							830.0000	12.9780	38.4780
							840.0000	12.9790	38.4780
							850.0000	12.9800	38.4780
							860.0000	12.9790	38.4770
							870.0000	12.9790	38.4770
							880.0000	12.9800	38.4780
							890.0000	12.9830	38.4780
							900.0000	12.9840	38.4790
							910.0000	12.9880	38.4790
							920.0000	12.9890	38.4790
							930.0000	12.9890	38.4780
							940.0000	12.9900	38.4780
							950.0000	12.9910	38.4780
							960.0000	12.9930	38.4790
							970.0000	12.9940	38.4800
							980.0000	12.9970	38.4790
							990.0000	12.9980	38.4790
							1000.0000	13.0000	38.4800
							1010.0000	13.0010	38.4790
							1020.0000	13.0000	38.4800
							1030.0000	13.0010	38.4790
							1040.0000	13.0030	38.4790
							1050.0000	13.0040	38.4790
							1060.0000	13.0040	38.4790
							1070.0000	13.0050	38.4790
							1080.0000	13.0070	38.4790
							1090.0000	13.0070	38.4780
							1100.0000	13.0090	38.4780
							1110.0000	13.0090	38.4780
							1120.0000	13.0110	38.4790
							1130.0000	13.0120	38.4790
							1140.0000	13.0140	38.4790
							1150.0000	13.0140	38.4790
							1160.0000	13.0150	38.4790
							1170.0000	13.0170	38.4790
							1180.0000	13.0180	38.4780
							1190.0000	13.0180	38.4790
							1200.0000	13.0190	38.4790
DYOME I	01060	C	1981-07-11	8.79200	43.39200	0	0.0000	21.3330	38.5610
							10.0000	20.8930	38.5170
							20.0000	17.3690	38.3960
							30.0000	15.3950	38.3890
							40.0000	13.7790	38.3930
							50.0000	13.3200	38.4110
							60.0000	13.1030	38.4140
							70.0000	13.0750	38.4290
							80.0000	13.0700	38.4400
							90.0000	13.0850	38.4550
							100.0000	13.0970	38.4690
							110.0000	13.0970	38.4740
							120.0000	13.0920	38.4760
							130.0000	13.0950	38.4810
							140.0000	13.1060	38.4910
							150.0000	13.1260	38.5000
							160.0000	13.1170	38.5040
							170.0000	13.1090	38.5020
							180.0000	13.0850	38.4980
							190.0000	13.0790	38.5000
							200.0000	13.0600	38.4960
							210.0000	13.0500	38.4960
							220.0000	13.0490	38.4960
							230.0000	13.0430	38.4970
							240.0000	13.0240	38.4920
							250.0000	13.0100	38.4870
							260.0000	13.0030	38.4860
							270.0000	12.9970	38.4860
							280.0000	12.9940	38.4840
							290.0000	12.9880	38.4830
							300.0000	12.9810	38.4820
							310.0000	12.9770	38.4830
							320.0000	12.9730	38.4820
							330.0000	12.9690	38.4810
							340.0000	12.9690	38.4800
							350.0000	12.9590	38.4790
							360.0000	12.9600	38.4800
							370.0000	12.9580	38.4780
							380.0000	12.9540	38.4760
							390.0000	12.9500	38.4760
							400.0000	12.9470	38.4750
							410.0000	12.9410	38.4730
							420.0000	12.9370	38.4720
							430.0000	12.9340	38.4710
							440.0000	12.9310	38.4700
							450.0000	12.9280	38.4700
							460.0000	12.9280	38.4690
							470.0000	12.9260	38.4700
							480.0000	12.9240	38.4680
							490.0000	12.9210	38.4680
							500.0000	12.9200	38.4690
							510.0000	12.9190	38.4670
							520.0000	12.9160	38.4670
							530.0000	12.9160	38.4670
							540.0000	12.9150	38.4670
							550.0000	12.9130	38.4670
							560.0000	12.9170	38.4660
							570.0000	12.9180	38.4680
							580.0000	12.9190	38.4660
							590.0000	12.9170	38.4650
							600.0000	12.9150	38.4660
							610.0000	12.9140	38.4660
							620.0000	12.9180	38.4670
							630.0000	12.9220	38.4670
							640.0000	12.9250	38.4680
							650.0000	12.9260	38.4690
							660.0000	12.9260	38.4680
							670.0000	12.9240	38.4680
							680.0000	12.9080	38.4620
							690.0000	12.9050	38.4610
							700.0000	12.9050	38.4600
							710.0000	12.9050	38.4610
							720.0000	12.9060	38.4610
							730.0000	12.9050	38.4610
							740.0000	12.9080	38.4610
							750.0000	12.9100	38.4610
							760.0000	12.9120	38.4610
							770.0000	12.9150	38.4620
							780.0000	12.9260	38.4650
							790.0000	12.9310	38.4680
							800.0000	12.9300	38.4670
							810.0000	12.9340	38.4670
							820.0000	12.9390	38.4680
							830.0000	12.9490	38.4720
							840.0000	12.9520	38.4720
							850.0000	12.9530	38.4710
							860.0000	12.9560	38.4720
							870.0000	12.9580	38.4720
							880.0000	12.9620	38.4730
							890.0000	12.9650	38.4750
							900.0000	12.9680	38.4750
							910.0000	12.9690	38.4740
							920.0000	12.9700	38.4750
							930.0000	12.9710	38.4750
							940.0000	12.9720	38.4760
							950.0000	12.9730	38.4750
							960.0000	12.9730	38.4750
							970.0000	12.9750	38.4760
							980.0000	12.9770	38.4760
							990.0000	12.9780	38.4760
							1000.0000	12.9790	38.4760
							1010.0000	12.9810	38.4760
							1020.0000	12.9810	38.4760
							1030.0000	12.9820	38.4750
							1040.0000	12.9830	38.4750
							1050.0000	12.9840	38.4750
							1060.0000	12.9850	38.4750
							1070.0000	12.9850	38.4750
							1080.0000	12.9860	38.4750
							1090.0000	12.9880	38.4740
							1100.0000	12.9880	38.4750
							1110.0000	12.9920	38.4750
							1120.0000	12.9940	38.4760
							1130.0000	12.9940	38.4760
							1140.0000	12.9960	38.4760
							1150.0000	12.9980	38.4770
							1160.0000	12.9990	38.4760
							1170.0000	13.0000	38.4760
							1180.0000	13.0000	38.4760
							1190.0000	13.0000	38.4770
							1200.0000	13.0020	38.4780
DYOME I	01070	C	1981-07-11	8.63300	43.27500	0	0.0000	22.2150	38.4930
							10.0000	20.0970	38.4290
							20.0000	17.4270	38.3600
							30.0000	14.3680	38.3540
							40.0000	13.6110	38.3750
							50.0000	13.3880	38.4020
							60.0000	13.2380	38.4200
							70.0000	13.1780	38.4550
							80.0000	13.1370	38.4650
							90.0000	13.1530	38.4810
							100.0000	13.1260	38.4810
							110.0000	13.1010	38.4820
							120.0000	13.0950	38.4850
							130.0000	13.1180	38.4950
							140.0000	13.1180	38.4970
							150.0000	13.1180	38.5000
							160.0000	13.1200	38.5020
							170.0000	13.1130	38.5030
							180.0000	13.0970	38.4980
							190.0000	13.0700	38.4920
							200.0000	13.0790	38.4970
							210.0000	13.0640	38.4930
							220.0000	13.0380	38.4900
							230.0000	13.0630	38.4980
							240.0000	13.0820	38.5030
							250.0000	13.0640	38.4980
							260.0000	13.0640	38.4990
							270.0000	13.0650	38.4980
							280.0000	13.0490	38.4940
							290.0000	13.0310	38.4890
							300.0000	13.0280	38.4900
							310.0000	13.0140	38.4870
							320.0000	13.0120	38.4860
							330.0000	13.0080	38.4840
							340.0000	13.0000	38.4810
							350.0000	12.9880	38.4810
							360.0000	12.9850	38.4810
							370.0000	12.9810	38.4790
							380.0000	12.9780	38.4790
							390.0000	12.9790	38.4790
							400.0000	12.9810	38.4790
							410.0000	12.9800	38.4790
							420.0000	12.9770	38.4770
							430.0000	12.9710	38.4770
							440.0000	12.9660	38.4750
							450.0000	12.9620	38.4740
							460.0000	12.9600	38.4720
							470.0000	12.9560	38.4710
							480.0000	12.9460	38.4710
							490.0000	12.9350	38.4680
							500.0000	12.9340	38.4660
							510.0000	12.9320	38.4670
							520.0000	12.9330	38.4660
							530.0000	12.9320	38.4670
							540.0000	12.9320	38.4670
							550.0000	12.9320	38.4660
							560.0000	12.9290	38.4640
							570.0000	12.9240	38.4650
							580.0000	12.9230	38.4640
							590.0000	12.9250	38.4650
							600.0000	12.9270	38.4640
							610.0000	12.9280	38.4640
							620.0000	12.9280	38.4640
							630.0000	12.9290	38.4640
							640.0000	12.9300	38.4650
							650.0000	12.9320	38.4660
							660.0000	12.9320	38.4660
							670.0000	12.9310	38.4660
							680.0000	12.9320	38.4650
							690.0000	12.9340	38.4660
							700.0000	12.9350	38.4660
							710.0000	12.9340	38.4650
